,page,nick,area,ip,time,content,agree,usertype
28,3,么么小小荆儿,湖北武汉,219.140.118.245,2018-08-13 17:31:07,考研英语每日一句的题目[喵喵][喵喵][喵喵][喵喵][喵喵][喵喵][喵喵][喵喵]@何凯文,0,wb
29,3,集序者,江西,117.136.60.92,2018-08-13 16:53:48,甩的一口好锅,2,wb
30,4,吃帆开,湖南长沙,220.202.152.117,2018-08-13 16:51:30,6666，你买只能手机要贷款，要贷款的只有上天的房,1,wb
31,4,没有标点符号真难,广东,223.104.63.90,2018-08-13 16:15:23,房贷呢？,0,wb
32,4,我是大兔子来了,北京,180.149.134.10,2018-08-13 15:22:56,有因才有果,0,wb
33,4,楚石pierre恋歌,湖北潜江,117.152.126.160,2018-08-13 14:21:22,关你屁事,0,wb
34,4,岁月-如烟,北京东城,121.71.94.44,2018-08-13 13:04:25,照这思路责任肯定得由幼儿园小朋友承担啊。,2,wb
35,4,Christopher_Nolan,山东青岛,218.58.50.138,2018-08-13 12:20:22,笑死了，某些人把车开翻了开始怪搭车的人了？,3,wb
36,4,异人词,澳大利亚,49.199.247.185,2018-08-13 10:38:13,文章咋没找到署名,1,wb
37,4,芹菜蘑菇猪肉馅饺子,福建福州,59.56.14.150,2018-08-13 10:23:38,炒房价炒上天发现没人买了说没消费力，zz,1,wb
38,4,chao恒星,浙江杭州,183.246.17.226,2018-08-13 09:08:51,特意搜出来diss你一下,1,wb
39,4,苍背岭阿扭九,广西,223.104.90.6,2018-08-13 08:18:58,年轻人才是中国的希望,0,wb
40,5,大大大face张,四川成都,117.136.62.10,2018-08-13 08:13:21,@Big-dog-杨磊 看评论,0,wb
41,5,看想了了了,山西太原,183.185.245.239,2018-08-13 07:18:48,中国过去四十年，以50，60，70为主流的社会人群，没有积累起足够的技术积累，没有完善好相应的制度。如今积重难翻，是千禧一代消费导致的。国家核心竞争力从数控机床到计算机核心部件在过去的40年间，我们有无数个机会可以追上，错失机会的人是千禧一代吗？,3,wb
42,5,我脱离低级趣味很久了,美国新泽西州,100.8.206.156,2018-08-13 06:14:27,愚蠢,0,wb
43,5,Piggy_Ichigo,上海,180.158.83.177,2018-08-13 02:32:53,真的有意思，买包刷信用卡叫借债，买房贷款就不叫借债了，有意思。,0,wb
44,5,王善良的春天,宁夏银川,106.45.115.106,2018-08-13 01:21:44,规矩是你定的，怪年轻人干什么,0,wb
45,5,不要掉发啊,广东韶关,113.75.241.132,2018-08-13 00:57:47,衮，年轻人不背这锅,0,wb
46,5,梁老师烤串儿,山东威海,223.81.204.111,2018-08-13 00:18:46,不要把什么锅都推给千禧一代,1,wb
47,5,写字楼对面起的名,河南开封,61.158.148.92,2018-08-12 23:35:23,看着标题就来气,1,wb
48,5,他的名字叫做父亲,贵州贵阳,221.13.1.149,2018-08-12 22:01:25,拖垮？老子房子都买不起，给我说拖垮。拖垮了再说吧。,1,wb
49,5,数码小驴,广东广州,117.136.12.88,2018-08-12 19:51:07,小编，你在供房不？觉得可耻吗？,0,wb
50,6,祖国花朵是造型师,辽宁丹东,123.186.216.201,2018-08-12 18:51:21,从90开始是分界线，90以前有钱没素质，能扛起国家大旗的人很少，90以后的素质提高的不是一点点，但能扛起国家大旗的人更少了，大家都知道什么原因吧。,1,wb
51,6,楼下集合,河北,223.104.101.182,2018-08-12 17:53:43,我要有这本事，还等到今天？,0,wb
52,6,twitter治国第一人,山东,223.104.186.88,2018-08-12 17:21:51,90后拼死拼活[悲伤],0,wb
53,6,W-杰狗儿,重庆,119.86.46.38,2018-08-12 16:46:40,那还喊多生，生更多的年轻人来当祸害？[黑线] 砖家们，你们的思维超越银河系了啊。。。！！！,0,wb
54,6,素简2016,上海,180.172.65.196,2018-08-12 12:51:30,操心不少啊,0,wb
55,6,大大大大大大斯兄先森,江苏常州,222.185.232.211,2018-08-12 11:18:13,谁带领谁呢[并不简单],0,wb
56,6,追逐阳光zh,河北石家庄,223.104.13.62,2018-08-12 11:10:06,年轻人不傻,0,wb
57,6,李怀远JEESE,山东青岛,223.80.237.5,2018-08-12 10:44:38,哦，原来是这届年轻人不行。,2,wb
58,6,香草拌饭,广西南宁,117.181.21.207,2018-08-12 10:11:55,ok 难以置信的自我认知,0,wb
59,6,ASenhora,广东广州,118.196.55.223,2018-08-12 09:55:10,开始忽悠你生二胎三胎呢！,0,wb
60,7,努力做一个成功的好人VS,北京,123.125.104.220,2018-08-12 09:06:55,举报他，发布不实信息不良信息,0,wb
61,7,汤佳睿同学super,吉林长春,124.234.189.154,2018-08-12 08:11:30,？？？,1,wb
62,7,随意开火午时已到,湖北武汉,171.43.249.128,2018-08-12 08:09:00,星巴克不好喝,0,wb
63,7,zeke_mendez,辽宁沈阳,59.44.12.12,2018-08-12 00:37:57,从前大户人家养了一群驴拉磨，后来驴发现不管多努力，顶多多得到主人赏的两根胡萝卜，所以后来的年轻驴就每天拉够圈数就去旅游，结果主任专门贴了告示批评这种驴不上进,1,wb
64,7,霜纹鱼,上海,222.69.250.252,2018-08-12 00:10:26,这和媒体的物质主义导向也有很大关系，除了央视还是主流价值观以外，其他哪个电视台不天天宣传高富帅，白富美,21,wb
65,7,alassock,广东佛山,183.27.152.124,2018-08-11 20:53:22,？？？看來我們中國每一代都是「垮掉的一代」呀[doge],0,wb
66,7,每日一茶蛋,黑龙江牡丹江,113.7.118.189,2018-08-11 19:18:13,？？？你怎么看哥哥还溜号！！！！,0,wb
67,7,没关系是边咸咸呀,天津,36.106.19.1,2018-08-11 19:15:04,看着演唱会还刷微博，社会社会[跪了][跪了],0,wb
68,7,碌碌无为的困难群众,山西太原,113.27.238.138,2018-08-11 16:29:58,谢谢,0,wb
69,7,竖纹AdaIX,广东广州,183.234.62.211,2018-08-11 14:25:19,想去声援你 结果发不出🌚,0,wb
70,8,猫切,广东深圳,14.17.22.33,2018-08-11 13:02:03,锅太大，接不住,0,wb
71,8,静静坨silence,湖南,117.136.89.122,2018-08-11 09:17:48,[允悲][允悲]…,0,wb
72,8,空空卡卡,四川成都,101.206.166.34,2018-08-11 08:30:12,居然这么说我们年轻人[嘿哈],0,wb
73,8,Kun-Gong,浙江,112.17.237.198,2018-08-10 23:04:35,老了,0,wb
74,8,天高路远,浙江杭州,112.10.50.208,2018-08-10 21:25:09,到底该不该透支消费？专家统一一下意见，在线等，急。,0,wb
75,8,右边耳垂上有颗痣,山西长治,60.220.61.84,2018-08-10 19:58:11,拜托，我买再多手机穿再多名牌喝再多星巴克都没一个房贷债务高吧。推责任推这么心安理得恶不恶心啊。,0,wb
76,8,liang个人的天荒地老,江苏徐州,114.234.162.185,2018-08-10 18:47:06,放你🐴屁,0,wb
77,8,-金牛男的冬天-,上海,118.242.19.178,2018-08-10 16:29:59,你是90后吧？,0,wb
78,8,踏雪啸长歌,江西南昌,223.104.10.46,2018-08-10 15:44:53,买不起房结不起婚生不起孩子[泪]还有一个郭姓胖子天天想从我兜里面骗钱,2,wb
79,8,阿秋秋呀-,湖北黄冈,171.41.16.110,2018-08-10 15:41:21,[吃瓜]我发现这群人真有意思什么锅都能往年轻人头上扣 80.90.00后都被扣了个遍,2,wb
80,9,貘無,四川成都,171.214.241.121,2018-08-10 15:09:54,前几天还有个标题，“老年人正在带领国家走向危机”。[允悲],1,wb
81,9,鐪熺悊_56821,上海,222.72.135.177,2018-08-10 14:31:51,10年前贷款买房的人都赚翻了，把钱存银行的，都傻眼了对吧？提前消费，贷款消费，对拉动内需意义重大，如果大家只存钱不贷款银行就憋死了。,1,pc
82,9,biancasaidsaid,江苏徐州,223.104.147.141,2018-08-10 13:48:39,评论亮了,2,wb
83,9,三月雨-微茫,北京,180.149.134.10,2018-08-10 12:55:40,我家人告诉我不能去借，就算自己过得苦些,0,wb
84,9,-_Ephemeral,浙江绍兴,124.160.214.89,2018-08-10 12:48:06,看评论@_Transitory,0,wb
85,9,李太泽,天津,117.8.141.162,2018-08-10 12:40:11,这个年轻人已经指向00后了 像我们这种80后90后 已经不属于这个区间了[二哈],0,wb
86,9,大中华999,山东淄博,223.96.144.75,2018-08-10 12:24:02,值得反思,0,wb
87,9,爱吃大米饭的小酒量,四川成都,182.138.95.145,2018-08-10 12:00:41,70%的千禧一代都是有房的,0,wb
88,9,MchermlkoIM,重庆,119.85.27.80,2018-08-10 11:43:03,780连坐出,0,wb
89,9,VV小伍兒,四川成都,171.210.128.120,2018-08-10 10:12:17,国家不是一直都是在X的带领下前进吗[小黄人得意],3,wb
90,10,江阿寒,广东广州,221.177.253.28,2018-08-10 09:35:53,我都是买了带走…,0,wb
91,10,法号_一休,浙江杭州,36.23.109.88,2018-08-10 09:24:26,形象，我就喜欢在星巴克自拍，[喵喵][喵喵],0,wb
92,10,空心悟佛,广东,223.104.63.180,2018-08-10 09:12:28,专家，就是叫你搬起砖头砸自己的家,1,wb
93,10,所有昵称已被抢占,北京,203.86.91.114,2018-08-10 08:56:54,反正都是年轻人的锅,1,wb
94,10,候鸟之一瞬间,新疆乌鲁木齐,124.117.207.20,2018-08-10 08:30:31,关键是千禧一代连个人大代表都当不上怎么能担负带路人的重任？,3,wb
95,10,菇熙,河南郑州,223.88.10.0,2018-08-10 08:30:09,房价那么高。不贷款。谁能全款。专家真多是站着说话不腰疼,3,wb
96,10,梁-明-杰,湖北襄阳,121.63.179.195,2018-08-10 08:29:14,他们的形象代表是社交网络中的星巴克咖啡馆自拍。[允悲],0,wb
97,10,EnVyUs丶rice,内蒙古,220.195.65.176,2018-08-10 08:20:08,没错了说的就是你,0,wb
98,10,长的像地瓜一样的土豆星球,四川,223.104.216.90,2018-08-10 08:15:56,是是是是  怪年轻人怪年轻人 [思考]  年轻人不努力呗    连不吃不喝十年买套房的决心都没有 [思考][思考],1,wb
99,10,胖达的小星星,安徽合肥,223.104.34.84,2018-08-10 07:37:42,攒钱？放银行？然后拿出来还不够买杯奶茶？,3,wb
100,11,wuyubao,福建龙岩,117.31.183.211,2018-08-10 03:21:10,走错片场了没？[允悲],0,wb
101,11,落木溪,河南南阳,182.114.224.57,2018-08-09 23:43:45,这个锅我不背[挖鼻],0,wb
102,11,不回头就行了,广东广州,112.96.199.121,2018-08-09 23:30:32,这届年轻人不行[doge],0,wb
103,11,陈大大耶耶,广东揭阳,223.74.229.250,2018-08-09 23:11:42,同意,0,wb
104,11,生活应该是美好而温柔的,河南安阳,115.48.27.223,2018-08-09 22:35:13,大学毕业后的心理问题有必要治疗吗？会随着时间慢慢好起来吗？,0,wb
105,11,江花醉月,江西赣州,111.75.44.229,2018-08-09 22:03:46,感受颇深,0,wb
106,11,锌楠神,黑龙江哈尔滨,113.5.4.12,2018-08-09 21:35:51,@Asuka---02  真滴牛批,0,wb
107,11,高处胜寒_,北京海淀,118.199.2.52,2018-08-09 20:49:45,杠杆率那么大都在哪儿了你们自己心里没有b数吗[费解],0,wb
108,11,Ruler丿,浙江,112.17.244.66,2018-08-09 20:36:21,不说了 我还有30年的房贷还没还[doge],0,wb
109,11,蜡笔猪小呆,云南昆明,117.136.85.13,2018-08-09 18:49:04,人在家中坐，锅从天上来,2,wb
110,12,北郭先生_Morning,辽宁丹东,112.40.176.99,2018-08-09 18:35:45,可能是50年代生的年轻人吧！,0,wb
111,12,福建商业一城,福建,220.249.162.62,2018-08-09 17:54:33,喝星巴克才多少钱[吃瓜]我觉得我死命消费一年也不到一万,0,wb
112,12,nightfall沉淀,陕西西安,1.83.3.172,2018-08-09 17:34:17,背,0,wb
113,12,樱狼永恒,四川成都,139.207.28.2,2018-08-09 17:03:29,用了还不是要还的，物价飞涨，人民币贬值，我同样的钱现在能买的东西过段时间可能就买不了了，为什么不现在买,1,wb
114,12,木花篱,上海,222.65.171.124,2018-08-09 16:50:17,钱要是够花谁他妈借？车子，房子，结婚有几个人一把掏不贷款？,1,wb
115,12,洛洛洛-沉迷哈蛋无法自拔,甘肃兰州,61.178.15.104,2018-08-09 16:49:27,总之，什么屎盆子都往年轻人头上扣就对了，80后是被如此对待的，现在轮到90后，00后或许在80后掌控言论之后会好点吧[拜拜],1,wb
116,12,门外种着一棵歪脖子树,江苏南通,112.21.78.140,2018-08-09 16:30:00,大猪蹄子,0,wb
117,12,琴音渺渺夜未央,广东深圳,14.17.22.33,2018-08-09 16:27:18,通篇四个大字：贷款买房允悲,0,
118,12,sumi不当逃兵,广东,223.104.63.68,2018-08-09 16:18:14,一套房子够我挥霍一辈子，还不用贷款，还不用欠钱，还没快乐，为何不？,0,wb
119,12,被TB卖家打扰的买家,湖北荆州,221.233.18.19,2018-08-09 15:46:03,所以我从来不借贷,0,wb
120,13,OutOfMemorry,湖北武汉,120.202.26.98,2018-08-09 15:39:10,对不起[拜拜],0,wb
121,13,super白字君,山东日照,119.185.73.161,2018-08-09 15:34:46,我很不想背上贷款，可是我很想问我们这破沿海的五线城市的房子有啥好炒的？,0,wb
122,13,九灵miao,北京海淀,219.238.166.229,2018-08-09 15:32:27,惊呆啊 说的很对 怎么这么敢说大实话,6,wb
123,13,不敢有梦想的90后,浙江杭州,36.24.70.195,2018-08-09 15:24:30,买不起房子，车子，还不让我们过得自在点了？,7,wb
124,13,映是喵星来的,上海,58.38.103.9,2018-08-09 15:17:18,看评论就放心系列，笑死，年轻人的思想越来越清透,3,wb
125,13,AmySssSun,陕西西安,1.80.217.63,2018-08-09 15:13:17,哈哈 我才看到,0,wb
126,13,家住石瑾,泰国,1.47.79.171,2018-08-09 15:08:11,买房才会背上巨额债务，没几个借钱买星巴克的吧[偷笑],0,wb
127,13,巴黎门前的小铁匠,湖北咸宁,171.114.148.57,2018-08-09 15:02:42,有毒的文章 。,0,wb
128,13,用户138****6863,山东济南,144.123.92.134,2018-08-09 14:47:28,年轻人不是国家的未来和希望吗，,0,palmnews
129,13,木木徽,安徽合肥,112.32.75.133,2018-08-09 14:30:12,媒体还要点脸吗？怎么不看看根本原因呢？,1,wb
130,14,翔鹤-瑞鹤-赤城-加贺-苍龙-飞龙,法国,77.136.198.8,2018-08-09 14:29:04,叫你们工作是用来赚钱上缴国家的，你们竟然去买星巴克提高生活水平，是可忍孰不可忍,0,wb
131,14,巴吧嘟啦,广东佛山,202.168.163.17,2018-08-09 14:18:41,为经济危机背锅！系统性金融风险可不能怪消费，这是政策和贸易的问题,3,wb
132,14,小生有礼_,广东东莞,14.24.39.23,2018-08-09 14:16:36,国家不是正想拉动内需吗?,2,wb
133,14,用户6394255872,上海,211.161.245.60,2018-08-09 14:15:13,不婚主义，不生孩子，不买房（根本买不起），,3,wb
134,14,YMM客源_g47,河南漯河,182.127.234.201,2018-08-09 14:15:02, 哇塞，真不错,0,wb
135,14,phjcceeeaa,辽宁沈阳,123.191.234.201,2018-08-09 14:12:57,建议锁定年轻人银行账户 除了房子别的都不能买 给父母老婆转账必须拿公安局证明和中国人民银行许可才可以[爱你],0,wb
136,14,快买燃气金鹰酱,浙江杭州,115.205.206.170,2018-08-09 14:08:45,我当年还是垮掉的一代呢[允悲][允悲][允悲],1,wb
137,14,模特爱放钉子,江苏无锡,49.80.162.24,2018-08-09 14:05:53,不要脸,0,wb
138,14,1649647h,江苏徐州,117.87.30.108,2018-08-09 14:05:21,帽子太大戴不住,0,wb
139,14,明天我要吃煎包,山东青岛,58.56.181.170,2018-08-09 14:04:14,要不要脸了还,0,wb
140,15,王先朋,上海,222.65.50.30,2018-08-09 13:41:56,这是小学生作文吧？通篇看不到一个论据能支撑这论点。好意思叫中国经济网？,1,wb
141,15,猴卷被,河北邯郸,183.198.9.77,2018-08-09 13:25:27,买不起房，买点小东西就说拖累国家了。,1,wb
142,15,用户4141132001,浙江宁波,122.245.205.98,2018-08-09 13:15:12,反革命言论啊！谁带领国家？还有只有需要悬崖勒马的国家才在走向危机吧？,3,wb
143,15,最爱石榴君,河南开封,61.158.149.43,2018-08-09 13:14:37,房地产暴露出的越来越多了。,1,wb
144,15,小弘小弘,浙江,223.104.246.203,2018-08-09 12:59:15,买房是攒钱就能买的起的么[白眼]不吃不喝都不够好不好,0,wb
145,15,cycle95,北京,180.149.134.10,2018-08-09 12:57:34,无法理解这样的逻辑,0,wb
146,15,有密集型恐惧的复杂人格靠谱火柴,甘肃武威,180.95.195.40,2018-08-09 12:46:13,省吃俭用攒钱买房要变成中华民族传统美德,0,wb
147,15,窝窝乡蛮小满,四川资阳,101.205.154.32,2018-08-09 12:40:43,七月份花呗还了2200  [吃瓜][吃瓜] 还有四百多没还呢,0,wb
148,15,懒过人,广东东莞,113.77.150.13,2018-08-09 12:37:31,想我们存钱进银行就直说嘛，前几年不还鼓励我们买房先买后付来着吗，现在又说可耻啊？,3,wb
149,15,pineapicky,上海,112.64.68.138,2018-08-09 12:32:56,我对不起祖国🙃,0,wb
150,16,源来是梦MM,辽宁沈阳,112.39.99.74,2018-08-09 12:13:57,牛逼牛逼,0,wb
151,16,巧克力杜杜,湖北武汉,117.136.81.148,2018-08-09 12:05:16,息怒[笑cry],0,wb
152,16,他乐于天命,安徽合肥,120.209.176.205,2018-08-09 12:04:33,见过无耻的，没见过这么无耻的，我们为什么贷款  你不知道ma,1,wb
153,16,青梅煮酒小丸子,内蒙古包头,60.31.74.55,2018-08-09 12:01:10,态度很好，赞[作揖],0,wb
154,16,稀饭面窝,湖北武汉,171.82.191.159,2018-08-09 11:57:18,我们都是木头人，不能说话不能动。,3,wb
155,16,侯彦祖爱batman,山西太原,218.26.97.199,2018-08-09 11:55:43,那我们应该干嘛,0,wb
156,16,从当前开始,广东深圳,112.97.57.76,2018-08-09 11:49:19,对不起，是我辜负了国家了[喵喵],1,wb
157,16,怪蜀黍825,福建厦门,120.36.248.112,2018-08-09 11:47:41,社会制度的锅别甩给我们  谢谢,1,wb
158,16,季佧的父亲,四川成都,139.207.71.46,2018-08-09 11:46:34,没错，三非尼哥我们不能歧视，应该把他们当作留学生一样养着，还得鼓励某些女人投怀送抱，不要着急，两个两个来,1,wb
159,16,涝池岸边逮青蛙,陕西西安,125.76.163.190,2018-08-09 11:40:05,房贷60，对，怪我！,0,wb
160,17,喵喵今天抽到伯爵了吗,江苏徐州,49.95.56.14,2018-08-09 11:38:15,人身攻击我，举报了。,0,wb
161,17,十三姨-Thirteen,浙江,223.104.246.48,2018-08-09 11:26:54,哈哈,0,wb
162,17,末代大湿,浙江杭州,115.236.9.250,2018-08-09 11:15:12,好像是95年的样子吧，那时电视上各类综艺节目、谈话类节目还在宣扬百姓要花未来的钱圆当下的梦。,0,wb
163,17,Mminginging,云南,223.104.238.33,2018-08-09 11:11:14,我一脚飞踢,0,wb
164,17,mikumiku每日伴你,广东,223.104.64.129,2018-08-09 11:10:08,笑死我了，我们这等穷人刚踏出校园连养活自己都艰难，更别说谈恋爱和结婚生子买房了,1,wb
165,17,用户6612813320,湖北咸宁,171.114.133.156,2018-08-09 11:04:16,杭州有位身披人大代表的老板，跑了，留下对出借人的债务和失业的员工,0,wb
166,17,瘦人luosang,青海海东,125.72.192.163,2018-08-09 11:02:40,有钱人说啥都是对的，我又错了,0,wb
167,17,JulyCyrus,内蒙古呼和浩特,1.25.108.117,2018-08-09 11:02:36,做坏事的没几个是年轻人啊。那些违法分子难道不是带领国家走向危机的？,4,wb
168,17,永恒的omega诅咒,广西南宁,171.105.156.77,2018-08-09 10:48:09,房价可比这些东西贵多了。如今买房，养孩子代价仍然不低，而现在年轻人观念不一样，更注重自由。,0,wb
169,17,比目鱼大仙,四川成都,182.151.164.100,2018-08-09 10:46:08,不说年轻人带领国家，是国家带领年轻人好伐,0,wb
170,18,gfvhhifx,内蒙古鄂尔多斯,218.21.220.36,2018-08-09 10:42:52,怪胎出世，你才想起规范性行为！,0,wb
171,18,拒绝社交软件侵蚀生活之后,山东济南,221.214.85.34,2018-08-09 10:42:22,哈哈哈哈哈哈很有道理,0,wb
172,18,Jeremy_yeung,山东,223.104.189.195,2018-08-09 10:40:45,大家天天喝星巴克可能会喝够，毕竟产品太少，所以要喜茶一点点奈雪倒替着喝。,0,wb
173,18,诺诺和洛洛是一家,广东,223.104.63.71,2018-08-09 10:38:47,什么都是年轻人的错，毕竟我们买不起房,1,wb
174,18,格林吉姆,广东中山,14.21.235.146,2018-08-09 10:34:17,这个皮球踢得好,1,wb
175,18,梦想家庄小乱,山东临沂,223.104.185.138,2018-08-09 10:32:49,一派胡言！年轻人能消费出占GDP40%的债务？你难道不知道房贷才是家庭债务里面的重点么？再说年轻人买多少才能把6800家P2P都买倒闭，P2P拆东墙补西墙的庞氏骗局也怪在年轻人头上？建行也有快贷，怎么没倒闭？贷款是金融繁荣的景象，有泡沫是好事，就看怎么合理利用，而不是用这种强奸犯思维在网上胡扯 ,1,wb
176,18,你为何盲目高歌,山西太原,218.26.55.151,2018-08-09 10:31:30,人在家中坐，锅从天上来,2,wb
177,18,顺位49,河南郑州,123.160.240.43,2018-08-09 10:30:08,十年前还强调留守儿童问题，表明没有父母，素质教育会有问题。等他们长大了，又成了从小被父母无微不至的关怀和呵护？？从小背锅到大，换了一个锅还有下一个,1,wb
178,18,gnuiphuejz,上海,183.192.9.220,2018-08-09 10:24:46,谁在带领中国心里没数吗[doge],0,wb
179,18,醉生199211,北京,180.149.134.10,2018-08-09 10:19:01,小编应该有个正在叛逆期的孩子，大家理解一下,1,wb
180,19,用户6532907466,香港,182.239.117.55,2018-08-09 10:18:27,年轻人的钱都被讹完了，当然只能找你们借文革时砸庙夺宝挣的钱咯,2,wap
181,19,想换名的橘子,北京,1.203.183.215,2018-08-09 10:17:49,要是啥都不买，攒钱买房，不说买不起泡沫了呢？攒钱炒股P2P还不如花了呢,0,wb
182,19,Tony小天天,四川成都,117.172.54.65,2018-08-09 10:16:02,那银行也别开了，全是看借贷养活的。,0,wb
183,19,大大大大大不太大,广东东莞,14.24.68.69,2018-08-09 10:15:26,？？？？？？来晚了，请问是直接笑吗？,0,wb
184,19,令狐up,江西九江,117.163.227.96,2018-08-09 10:14:09,主要没钱,1,wb
185,19,杨某人F,江西九江,117.171.167.109,2018-08-09 10:11:38,杨老师，爱上了，说的太对了。,0,wb
186,19,荷些了,广东深圳,218.18.77.182,2018-08-09 10:08:41,房子只是财富的转移，年轻人想通了将来不想成为高净值人群。,0,wb
187,19,一个不愿透露姓名的普通热心群众,江苏苏州,223.104.145.104,2018-08-09 09:58:03,60后是垮掉的一代→70后是垮掉的一代→80后是垮掉的一代→90后是垮掉的一代[思考],5,wb
188,19,潘昱材,广东深圳,119.123.131.179,2018-08-09 09:57:59,我手机三年没换 星巴克没去一次 我的房呢？,1,wb
189,19,Dcpzzzzzzzz,浙江绍兴,124.160.212.121,2018-08-09 09:49:12,哇，真的是树下野狐,0,wb
190,20,用户5650457955,湖北武汉,119.79.121.158,2018-08-09 09:48:43,贷款买的房子，几个贷款买苹果消费的，少的可怜好吧，哪里来的砖家！？,0,
191,20,不喜欢了ky,广东广州,113.115.59.2,2018-08-09 09:47:55,90后厉害了，你说他们，他们怼回去。[赞]。哈哈。,0,wb
