,ip,agree,nick,content,usertype,time,page,area
14,112.17.239.4,1,_S_酒红,人在家中坐，锅从天上来,wb,2018-08-20 22:34:49,2,浙江
15,117.181.90.157,0,绾起梨花月99,我喝不起星巴克也买不起房[跪了][摊手][摊手][摊手][摊手],wb,2018-08-14 21:29:01,2,广西贵港
16,106.120.232.253,1,莱薇酱,国家不是在愁人民消费不够么？？？？？？只允许买房买车和吃饭，不允许我们买手机？,wb,2018-08-14 21:16:23,2,北京
17,118.212.208.29,0,点爱22306,挣得多当然不用借，可现实呢,wb,2018-08-14 16:28:52,2,江西南昌
18,220.195.66.87,1,is_话梅糖,债务都是次月就还清了，能让年轻人背上巨债的唯有买房了吧，所以买房是不可能了，最大的心愿是和爱的人走遍世间美好的地方,wb,2018-08-14 10:58:19,2,内蒙古呼和浩特
19,223.104.3.203,1,斌斌有李有斌斌,对呀  那就别生了,wb,2018-08-14 10:36:52,2,北京
20,122.194.162.147,3,吾耳音,已举报,wb,2018-08-14 10:11:21,3,江苏徐州
21,221.195.44.187,0,曲苑杂坛1,买房才是好吗，根本无力偿还[doge],wb,2018-08-14 08:13:58,3,河北沧州
22,123.101.124.113,1,人-生-如-剧,大家不要一提起借贷就想到买房，更严重的问题是，现在很多人借贷买奢侈品，借贷过比自己工资高几个档次的生活，我身边就很多，他们通常会觉得钱不够花是因为物价太高，但是物价再低的地方LV 也不会太便宜的，多落后的地方也会有高档餐厅的。,wb,2018-08-14 08:12:21,3,河南濮阳
23,36.4.239.179,1,为你而明,"不能以偏概全哪。毕竟是少数，大多数都在积极向上！中国的""有钱人""多，那也是父母造就的，省吃俭用供孩子，做牛做马！我还是觉得年轻人应该早点独立，！",wb,2018-08-14 07:30:05,3,安徽亳州
24,223.104.170.179,0,暗夜下的咏叹,这锅不背,wb,2018-08-13 21:26:09,3,江西南昌
25,113.214.212.78,3,我一个人盼望着我们仨,放你娘的屁，我看到的都是一帮朝气蓬勃的年轻人,wb,2018-08-13 21:19:01,3,浙江台州
26,60.165.77.79,2,邪魅BYLHX,没办法啊，辛辛苦苦攒点钱都给骗光了，以后转换观念，借着吃吧,wb,2018-08-13 20:45:25,3,甘肃白银
27,61.158.148.67,0,恰似那场青春-Lxp,你看，我就不买新款智能手机，星巴克，大牌衣服。。[摊手],wb,2018-08-13 18:35:02,3,河南开封
28,219.140.118.245,0,么么小小荆儿,考研英语每日一句的题目[喵喵][喵喵][喵喵][喵喵][喵喵][喵喵][喵喵][喵喵]@何凯文,wb,2018-08-13 17:31:07,3,湖北武汉
29,117.136.60.92,2,集序者,甩的一口好锅,wb,2018-08-13 16:53:48,3,江西
30,220.202.152.117,1,吃帆开,6666，你买只能手机要贷款，要贷款的只有上天的房,wb,2018-08-13 16:51:30,4,湖南长沙
31,223.104.63.90,0,没有标点符号真难,房贷呢？,wb,2018-08-13 16:15:23,4,广东
32,180.149.134.10,0,我是大兔子来了,有因才有果,wb,2018-08-13 15:22:56,4,北京
33,117.152.126.160,0,楚石pierre恋歌,关你屁事,wb,2018-08-13 14:21:22,4,湖北潜江
34,121.71.94.44,2,岁月-如烟,照这思路责任肯定得由幼儿园小朋友承担啊。,wb,2018-08-13 13:04:25,4,北京东城
35,218.58.50.138,3,Christopher_Nolan,笑死了，某些人把车开翻了开始怪搭车的人了？,wb,2018-08-13 12:20:22,4,山东青岛
36,49.199.247.185,1,异人词,文章咋没找到署名,wb,2018-08-13 10:38:13,4,澳大利亚
37,59.56.14.150,1,芹菜蘑菇猪肉馅饺子,炒房价炒上天发现没人买了说没消费力，zz,wb,2018-08-13 10:23:38,4,福建福州
38,183.246.17.226,1,chao恒星,特意搜出来diss你一下,wb,2018-08-13 09:08:51,4,浙江杭州
39,223.104.90.6,0,苍背岭阿扭九,年轻人才是中国的希望,wb,2018-08-13 08:18:58,4,广西
40,117.136.62.10,0,大大大face张,@Big-dog-杨磊 看评论,wb,2018-08-13 08:13:21,5,四川成都
41,183.185.245.239,3,看想了了了,中国过去四十年，以50，60，70为主流的社会人群，没有积累起足够的技术积累，没有完善好相应的制度。如今积重难翻，是千禧一代消费导致的。国家核心竞争力从数控机床到计算机核心部件在过去的40年间，我们有无数个机会可以追上，错失机会的人是千禧一代吗？,wb,2018-08-13 07:18:48,5,山西太原
42,100.8.206.156,0,我脱离低级趣味很久了,愚蠢,wb,2018-08-13 06:14:27,5,美国新泽西州
43,180.158.83.177,0,Piggy_Ichigo,真的有意思，买包刷信用卡叫借债，买房贷款就不叫借债了，有意思。,wb,2018-08-13 02:32:53,5,上海
44,106.45.115.106,0,王善良的春天,规矩是你定的，怪年轻人干什么,wb,2018-08-13 01:21:44,5,宁夏银川
45,113.75.241.132,0,不要掉发啊,衮，年轻人不背这锅,wb,2018-08-13 00:57:47,5,广东韶关
46,223.81.204.111,1,梁老师烤串儿,不要把什么锅都推给千禧一代,wb,2018-08-13 00:18:46,5,山东威海
47,61.158.148.92,1,写字楼对面起的名,看着标题就来气,wb,2018-08-12 23:35:23,5,河南开封
48,221.13.1.149,1,他的名字叫做父亲,拖垮？老子房子都买不起，给我说拖垮。拖垮了再说吧。,wb,2018-08-12 22:01:25,5,贵州贵阳
49,117.136.12.88,0,数码小驴,小编，你在供房不？觉得可耻吗？,wb,2018-08-12 19:51:07,5,广东广州
50,123.186.216.201,1,祖国花朵是造型师,从90开始是分界线，90以前有钱没素质，能扛起国家大旗的人很少，90以后的素质提高的不是一点点，但能扛起国家大旗的人更少了，大家都知道什么原因吧。,wb,2018-08-12 18:51:21,6,辽宁丹东
51,223.104.101.182,0,楼下集合,我要有这本事，还等到今天？,wb,2018-08-12 17:53:43,6,河北
52,223.104.186.88,0,twitter治国第一人,90后拼死拼活[悲伤],wb,2018-08-12 17:21:51,6,山东
53,119.86.46.38,0,W-杰狗儿,那还喊多生，生更多的年轻人来当祸害？[黑线] 砖家们，你们的思维超越银河系了啊。。。！！！,wb,2018-08-12 16:46:40,6,重庆
54,180.172.65.196,0,素简2016,操心不少啊,wb,2018-08-12 12:51:30,6,上海
55,222.185.232.211,0,大大大大大大斯兄先森,谁带领谁呢[并不简单],wb,2018-08-12 11:18:13,6,江苏常州
56,223.104.13.62,0,追逐阳光zh,年轻人不傻,wb,2018-08-12 11:10:06,6,河北石家庄
57,223.80.237.5,2,李怀远JEESE,哦，原来是这届年轻人不行。,wb,2018-08-12 10:44:38,6,山东青岛
58,117.181.21.207,0,香草拌饭,ok 难以置信的自我认知,wb,2018-08-12 10:11:55,6,广西南宁
59,118.196.55.223,0,ASenhora,开始忽悠你生二胎三胎呢！,wb,2018-08-12 09:55:10,6,广东广州
60,123.125.104.220,0,努力做一个成功的好人VS,举报他，发布不实信息不良信息,wb,2018-08-12 09:06:55,7,北京
61,124.234.189.154,1,汤佳睿同学super,？？？,wb,2018-08-12 08:11:30,7,吉林长春
62,171.43.249.128,0,随意开火午时已到,星巴克不好喝,wb,2018-08-12 08:09:00,7,湖北武汉
63,59.44.12.12,1,zeke_mendez,从前大户人家养了一群驴拉磨，后来驴发现不管多努力，顶多多得到主人赏的两根胡萝卜，所以后来的年轻驴就每天拉够圈数就去旅游，结果主任专门贴了告示批评这种驴不上进,wb,2018-08-12 00:37:57,7,辽宁沈阳
64,222.69.250.252,21,霜纹鱼,这和媒体的物质主义导向也有很大关系，除了央视还是主流价值观以外，其他哪个电视台不天天宣传高富帅，白富美,wb,2018-08-12 00:10:26,7,上海
65,183.27.152.124,0,alassock,？？？看來我們中國每一代都是「垮掉的一代」呀[doge],wb,2018-08-11 20:53:22,7,广东佛山
66,113.7.118.189,0,每日一茶蛋,？？？你怎么看哥哥还溜号！！！！,wb,2018-08-11 19:18:13,7,黑龙江牡丹江
67,36.106.19.1,0,没关系是边咸咸呀,看着演唱会还刷微博，社会社会[跪了][跪了],wb,2018-08-11 19:15:04,7,天津
68,113.27.238.138,0,碌碌无为的困难群众,谢谢,wb,2018-08-11 16:29:58,7,山西太原
69,183.234.62.211,0,竖纹AdaIX,想去声援你 结果发不出🌚,wb,2018-08-11 14:25:19,7,广东广州
70,14.17.22.33,0,猫切,锅太大，接不住,wb,2018-08-11 13:02:03,8,广东深圳
71,117.136.89.122,0,静静坨silence,[允悲][允悲]…,wb,2018-08-11 09:17:48,8,湖南
72,101.206.166.34,0,空空卡卡,居然这么说我们年轻人[嘿哈],wb,2018-08-11 08:30:12,8,四川成都
73,112.17.237.198,0,Kun-Gong,老了,wb,2018-08-10 23:04:35,8,浙江
74,112.10.50.208,0,天高路远,到底该不该透支消费？专家统一一下意见，在线等，急。,wb,2018-08-10 21:25:09,8,浙江杭州
75,60.220.61.84,0,右边耳垂上有颗痣,拜托，我买再多手机穿再多名牌喝再多星巴克都没一个房贷债务高吧。推责任推这么心安理得恶不恶心啊。,wb,2018-08-10 19:58:11,8,山西长治
76,114.234.162.185,0,liang个人的天荒地老,放你🐴屁,wb,2018-08-10 18:47:06,8,江苏徐州
77,118.242.19.178,0,-金牛男的冬天-,你是90后吧？,wb,2018-08-10 16:29:59,8,上海
78,223.104.10.46,2,踏雪啸长歌,买不起房结不起婚生不起孩子[泪]还有一个郭姓胖子天天想从我兜里面骗钱,wb,2018-08-10 15:44:53,8,江西南昌
79,171.41.16.110,2,阿秋秋呀-,[吃瓜]我发现这群人真有意思什么锅都能往年轻人头上扣 80.90.00后都被扣了个遍,wb,2018-08-10 15:41:21,8,湖北黄冈
80,171.214.241.121,1,貘無,前几天还有个标题，“老年人正在带领国家走向危机”。[允悲],wb,2018-08-10 15:09:54,9,四川成都
81,222.72.135.177,1,鐪熺悊_56821,10年前贷款买房的人都赚翻了，把钱存银行的，都傻眼了对吧？提前消费，贷款消费，对拉动内需意义重大，如果大家只存钱不贷款银行就憋死了。,pc,2018-08-10 14:31:51,9,上海
82,223.104.147.141,2,biancasaidsaid,评论亮了,wb,2018-08-10 13:48:39,9,江苏徐州
83,180.149.134.10,0,三月雨-微茫,我家人告诉我不能去借，就算自己过得苦些,wb,2018-08-10 12:55:40,9,北京
84,124.160.214.89,0,-_Ephemeral,看评论@_Transitory,wb,2018-08-10 12:48:06,9,浙江绍兴
85,117.8.141.162,0,李太泽,这个年轻人已经指向00后了 像我们这种80后90后 已经不属于这个区间了[二哈],wb,2018-08-10 12:40:11,9,天津
86,223.96.144.75,0,大中华999,值得反思,wb,2018-08-10 12:24:02,9,山东淄博
87,182.138.95.145,0,爱吃大米饭的小酒量,70%的千禧一代都是有房的,wb,2018-08-10 12:00:41,9,四川成都
88,119.85.27.80,0,MchermlkoIM,780连坐出,wb,2018-08-10 11:43:03,9,重庆
89,171.210.128.120,3,VV小伍兒,国家不是一直都是在X的带领下前进吗[小黄人得意],wb,2018-08-10 10:12:17,9,四川成都
90,221.177.253.28,0,江阿寒,我都是买了带走…,wb,2018-08-10 09:35:53,10,广东广州
91,36.23.109.88,0,法号_一休,形象，我就喜欢在星巴克自拍，[喵喵][喵喵],wb,2018-08-10 09:24:26,10,浙江杭州
92,223.104.63.180,1,空心悟佛,专家，就是叫你搬起砖头砸自己的家,wb,2018-08-10 09:12:28,10,广东
93,203.86.91.114,1,所有昵称已被抢占,反正都是年轻人的锅,wb,2018-08-10 08:56:54,10,北京
94,124.117.207.20,3,候鸟之一瞬间,关键是千禧一代连个人大代表都当不上怎么能担负带路人的重任？,wb,2018-08-10 08:30:31,10,新疆乌鲁木齐
95,223.88.10.0,3,菇熙,房价那么高。不贷款。谁能全款。专家真多是站着说话不腰疼,wb,2018-08-10 08:30:09,10,河南郑州
96,121.63.179.195,0,梁-明-杰,他们的形象代表是社交网络中的星巴克咖啡馆自拍。[允悲],wb,2018-08-10 08:29:14,10,湖北襄阳
97,220.195.65.176,0,EnVyUs丶rice,没错了说的就是你,wb,2018-08-10 08:20:08,10,内蒙古
98,223.104.216.90,1,长的像地瓜一样的土豆星球,是是是是  怪年轻人怪年轻人 [思考]  年轻人不努力呗    连不吃不喝十年买套房的决心都没有 [思考][思考],wb,2018-08-10 08:15:56,10,四川
99,223.104.34.84,3,胖达的小星星,攒钱？放银行？然后拿出来还不够买杯奶茶？,wb,2018-08-10 07:37:42,10,安徽合肥
100,117.31.183.211,0,wuyubao,走错片场了没？[允悲],wb,2018-08-10 03:21:10,11,福建龙岩
101,182.114.224.57,0,落木溪,这个锅我不背[挖鼻],wb,2018-08-09 23:43:45,11,河南南阳
102,112.96.199.121,0,不回头就行了,这届年轻人不行[doge],wb,2018-08-09 23:30:32,11,广东广州
103,223.74.229.250,0,陈大大耶耶,同意,wb,2018-08-09 23:11:42,11,广东揭阳
104,115.48.27.223,0,生活应该是美好而温柔的,大学毕业后的心理问题有必要治疗吗？会随着时间慢慢好起来吗？,wb,2018-08-09 22:35:13,11,河南安阳
105,111.75.44.229,0,江花醉月,感受颇深,wb,2018-08-09 22:03:46,11,江西赣州
106,113.5.4.12,0,锌楠神,@Asuka---02  真滴牛批,wb,2018-08-09 21:35:51,11,黑龙江哈尔滨
107,118.199.2.52,0,高处胜寒_,杠杆率那么大都在哪儿了你们自己心里没有b数吗[费解],wb,2018-08-09 20:49:45,11,北京海淀
108,112.17.244.66,0,Ruler丿,不说了 我还有30年的房贷还没还[doge],wb,2018-08-09 20:36:21,11,浙江
109,117.136.85.13,2,蜡笔猪小呆,人在家中坐，锅从天上来,wb,2018-08-09 18:49:04,11,云南昆明
110,112.40.176.99,0,北郭先生_Morning,可能是50年代生的年轻人吧！,wb,2018-08-09 18:35:45,12,辽宁丹东
111,220.249.162.62,0,福建商业一城,喝星巴克才多少钱[吃瓜]我觉得我死命消费一年也不到一万,wb,2018-08-09 17:54:33,12,福建
112,1.83.3.172,0,nightfall沉淀,背,wb,2018-08-09 17:34:17,12,陕西西安
113,139.207.28.2,1,樱狼永恒,用了还不是要还的，物价飞涨，人民币贬值，我同样的钱现在能买的东西过段时间可能就买不了了，为什么不现在买,wb,2018-08-09 17:03:29,12,四川成都
114,222.65.171.124,1,木花篱,钱要是够花谁他妈借？车子，房子，结婚有几个人一把掏不贷款？,wb,2018-08-09 16:50:17,12,上海
115,61.178.15.104,1,洛洛洛-沉迷哈蛋无法自拔,总之，什么屎盆子都往年轻人头上扣就对了，80后是被如此对待的，现在轮到90后，00后或许在80后掌控言论之后会好点吧[拜拜],wb,2018-08-09 16:49:27,12,甘肃兰州
116,112.21.78.140,0,门外种着一棵歪脖子树,大猪蹄子,wb,2018-08-09 16:30:00,12,江苏南通
117,14.17.22.33,0,琴音渺渺夜未央,通篇四个大字：贷款买房允悲,,2018-08-09 16:27:18,12,广东深圳
118,223.104.63.68,0,sumi不当逃兵,一套房子够我挥霍一辈子，还不用贷款，还不用欠钱，还没快乐，为何不？,wb,2018-08-09 16:18:14,12,广东
119,221.233.18.19,0,被TB卖家打扰的买家,所以我从来不借贷,wb,2018-08-09 15:46:03,12,湖北荆州
120,120.202.26.98,0,OutOfMemorry,对不起[拜拜],wb,2018-08-09 15:39:10,13,湖北武汉
121,119.185.73.161,0,super白字君,我很不想背上贷款，可是我很想问我们这破沿海的五线城市的房子有啥好炒的？,wb,2018-08-09 15:34:46,13,山东日照
122,219.238.166.229,6,九灵miao,惊呆啊 说的很对 怎么这么敢说大实话,wb,2018-08-09 15:32:27,13,北京海淀
123,36.24.70.195,7,不敢有梦想的90后,买不起房子，车子，还不让我们过得自在点了？,wb,2018-08-09 15:24:30,13,浙江杭州
124,58.38.103.9,3,映是喵星来的,看评论就放心系列，笑死，年轻人的思想越来越清透,wb,2018-08-09 15:17:18,13,上海
125,1.80.217.63,0,AmySssSun,哈哈 我才看到,wb,2018-08-09 15:13:17,13,陕西西安
126,1.47.79.171,0,家住石瑾,买房才会背上巨额债务，没几个借钱买星巴克的吧[偷笑],wb,2018-08-09 15:08:11,13,泰国
127,171.114.148.57,0,巴黎门前的小铁匠,有毒的文章 。,wb,2018-08-09 15:02:42,13,湖北咸宁
128,144.123.92.134,0,用户138****6863,年轻人不是国家的未来和希望吗，,palmnews,2018-08-09 14:47:28,13,山东济南
129,112.32.75.133,1,木木徽,媒体还要点脸吗？怎么不看看根本原因呢？,wb,2018-08-09 14:30:12,13,安徽合肥
130,77.136.198.8,0,翔鹤-瑞鹤-赤城-加贺-苍龙-飞龙,叫你们工作是用来赚钱上缴国家的，你们竟然去买星巴克提高生活水平，是可忍孰不可忍,wb,2018-08-09 14:29:04,14,法国
131,202.168.163.17,3,巴吧嘟啦,为经济危机背锅！系统性金融风险可不能怪消费，这是政策和贸易的问题,wb,2018-08-09 14:18:41,14,广东佛山
132,14.24.39.23,2,小生有礼_,国家不是正想拉动内需吗?,wb,2018-08-09 14:16:36,14,广东东莞
133,211.161.245.60,3,用户6394255872,不婚主义，不生孩子，不买房（根本买不起），,wb,2018-08-09 14:15:13,14,上海
134,182.127.234.201,0,YMM客源_g47, 哇塞，真不错,wb,2018-08-09 14:15:02,14,河南漯河
135,123.191.234.201,0,phjcceeeaa,建议锁定年轻人银行账户 除了房子别的都不能买 给父母老婆转账必须拿公安局证明和中国人民银行许可才可以[爱你],wb,2018-08-09 14:12:57,14,辽宁沈阳
136,115.205.206.170,1,快买燃气金鹰酱,我当年还是垮掉的一代呢[允悲][允悲][允悲],wb,2018-08-09 14:08:45,14,浙江杭州
137,49.80.162.24,0,模特爱放钉子,不要脸,wb,2018-08-09 14:05:53,14,江苏无锡
138,117.87.30.108,0,1649647h,帽子太大戴不住,wb,2018-08-09 14:05:21,14,江苏徐州
139,58.56.181.170,0,明天我要吃煎包,要不要脸了还,wb,2018-08-09 14:04:14,14,山东青岛
140,222.65.50.30,1,王先朋,这是小学生作文吧？通篇看不到一个论据能支撑这论点。好意思叫中国经济网？,wb,2018-08-09 13:41:56,15,上海
141,183.198.9.77,1,猴卷被,买不起房，买点小东西就说拖累国家了。,wb,2018-08-09 13:25:27,15,河北邯郸
142,122.245.205.98,3,用户4141132001,反革命言论啊！谁带领国家？还有只有需要悬崖勒马的国家才在走向危机吧？,wb,2018-08-09 13:15:12,15,浙江宁波
143,61.158.149.43,1,最爱石榴君,房地产暴露出的越来越多了。,wb,2018-08-09 13:14:37,15,河南开封
144,223.104.246.203,0,小弘小弘,买房是攒钱就能买的起的么[白眼]不吃不喝都不够好不好,wb,2018-08-09 12:59:15,15,浙江
145,180.149.134.10,0,cycle95,无法理解这样的逻辑,wb,2018-08-09 12:57:34,15,北京
146,180.95.195.40,0,有密集型恐惧的复杂人格靠谱火柴,省吃俭用攒钱买房要变成中华民族传统美德,wb,2018-08-09 12:46:13,15,甘肃武威
147,101.205.154.32,0,窝窝乡蛮小满,七月份花呗还了2200  [吃瓜][吃瓜] 还有四百多没还呢,wb,2018-08-09 12:40:43,15,四川资阳
148,113.77.150.13,3,懒过人,想我们存钱进银行就直说嘛，前几年不还鼓励我们买房先买后付来着吗，现在又说可耻啊？,wb,2018-08-09 12:37:31,15,广东东莞
149,112.64.68.138,0,pineapicky,我对不起祖国🙃,wb,2018-08-09 12:32:56,15,上海
150,112.39.99.74,0,源来是梦MM,牛逼牛逼,wb,2018-08-09 12:13:57,16,辽宁沈阳
151,117.136.81.148,0,巧克力杜杜,息怒[笑cry],wb,2018-08-09 12:05:16,16,湖北武汉
152,120.209.176.205,1,他乐于天命,见过无耻的，没见过这么无耻的，我们为什么贷款  你不知道ma,wb,2018-08-09 12:04:33,16,安徽合肥
153,60.31.74.55,0,青梅煮酒小丸子,态度很好，赞[作揖],wb,2018-08-09 12:01:10,16,内蒙古包头
154,171.82.191.159,3,稀饭面窝,我们都是木头人，不能说话不能动。,wb,2018-08-09 11:57:18,16,湖北武汉
155,218.26.97.199,0,侯彦祖爱batman,那我们应该干嘛,wb,2018-08-09 11:55:43,16,山西太原
156,112.97.57.76,1,从当前开始,对不起，是我辜负了国家了[喵喵],wb,2018-08-09 11:49:19,16,广东深圳
157,120.36.248.112,1,怪蜀黍825,社会制度的锅别甩给我们  谢谢,wb,2018-08-09 11:47:41,16,福建厦门
158,139.207.71.46,1,季佧的父亲,没错，三非尼哥我们不能歧视，应该把他们当作留学生一样养着，还得鼓励某些女人投怀送抱，不要着急，两个两个来,wb,2018-08-09 11:46:34,16,四川成都
159,125.76.163.190,0,涝池岸边逮青蛙,房贷60，对，怪我！,wb,2018-08-09 11:40:05,16,陕西西安
160,49.95.56.14,0,喵喵今天抽到伯爵了吗,人身攻击我，举报了。,wb,2018-08-09 11:38:15,17,江苏徐州
161,223.104.246.48,0,十三姨-Thirteen,哈哈,wb,2018-08-09 11:26:54,17,浙江
162,115.236.9.250,0,末代大湿,好像是95年的样子吧，那时电视上各类综艺节目、谈话类节目还在宣扬百姓要花未来的钱圆当下的梦。,wb,2018-08-09 11:15:12,17,浙江杭州
163,223.104.238.33,0,Mminginging,我一脚飞踢,wb,2018-08-09 11:11:14,17,云南
164,223.104.64.129,1,mikumiku每日伴你,笑死我了，我们这等穷人刚踏出校园连养活自己都艰难，更别说谈恋爱和结婚生子买房了,wb,2018-08-09 11:10:08,17,广东
165,171.114.133.156,0,用户6612813320,杭州有位身披人大代表的老板，跑了，留下对出借人的债务和失业的员工,wb,2018-08-09 11:04:16,17,湖北咸宁
166,125.72.192.163,0,瘦人luosang,有钱人说啥都是对的，我又错了,wb,2018-08-09 11:02:40,17,青海海东
167,1.25.108.117,4,JulyCyrus,做坏事的没几个是年轻人啊。那些违法分子难道不是带领国家走向危机的？,wb,2018-08-09 11:02:36,17,内蒙古呼和浩特
168,171.105.156.77,0,永恒的omega诅咒,房价可比这些东西贵多了。如今买房，养孩子代价仍然不低，而现在年轻人观念不一样，更注重自由。,wb,2018-08-09 10:48:09,17,广西南宁
169,182.151.164.100,0,比目鱼大仙,不说年轻人带领国家，是国家带领年轻人好伐,wb,2018-08-09 10:46:08,17,四川成都
170,218.21.220.36,0,gfvhhifx,怪胎出世，你才想起规范性行为！,wb,2018-08-09 10:42:52,18,内蒙古鄂尔多斯
171,221.214.85.34,0,拒绝社交软件侵蚀生活之后,哈哈哈哈哈哈很有道理,wb,2018-08-09 10:42:22,18,山东济南
172,223.104.189.195,0,Jeremy_yeung,大家天天喝星巴克可能会喝够，毕竟产品太少，所以要喜茶一点点奈雪倒替着喝。,wb,2018-08-09 10:40:45,18,山东
173,223.104.63.71,1,诺诺和洛洛是一家,什么都是年轻人的错，毕竟我们买不起房,wb,2018-08-09 10:38:47,18,广东
174,14.21.235.146,1,格林吉姆,这个皮球踢得好,wb,2018-08-09 10:34:17,18,广东中山
175,223.104.185.138,1,梦想家庄小乱,一派胡言！年轻人能消费出占GDP40%的债务？你难道不知道房贷才是家庭债务里面的重点么？再说年轻人买多少才能把6800家P2P都买倒闭，P2P拆东墙补西墙的庞氏骗局也怪在年轻人头上？建行也有快贷，怎么没倒闭？贷款是金融繁荣的景象，有泡沫是好事，就看怎么合理利用，而不是用这种强奸犯思维在网上胡扯 ,wb,2018-08-09 10:32:49,18,山东临沂
176,218.26.55.151,2,你为何盲目高歌,人在家中坐，锅从天上来,wb,2018-08-09 10:31:30,18,山西太原
177,123.160.240.43,1,顺位49,十年前还强调留守儿童问题，表明没有父母，素质教育会有问题。等他们长大了，又成了从小被父母无微不至的关怀和呵护？？从小背锅到大，换了一个锅还有下一个,wb,2018-08-09 10:30:08,18,河南郑州
178,183.192.9.220,0,gnuiphuejz,谁在带领中国心里没数吗[doge],wb,2018-08-09 10:24:46,18,上海
179,180.149.134.10,1,醉生199211,小编应该有个正在叛逆期的孩子，大家理解一下,wb,2018-08-09 10:19:01,18,北京
180,182.239.117.55,2,用户6532907466,年轻人的钱都被讹完了，当然只能找你们借文革时砸庙夺宝挣的钱咯,wap,2018-08-09 10:18:27,19,香港
181,1.203.183.215,0,想换名的橘子,要是啥都不买，攒钱买房，不说买不起泡沫了呢？攒钱炒股P2P还不如花了呢,wb,2018-08-09 10:17:49,19,北京
182,117.172.54.65,0,Tony小天天,那银行也别开了，全是看借贷养活的。,wb,2018-08-09 10:16:02,19,四川成都
183,14.24.68.69,0,大大大大大不太大,？？？？？？来晚了，请问是直接笑吗？,wb,2018-08-09 10:15:26,19,广东东莞
184,117.163.227.96,1,令狐up,主要没钱,wb,2018-08-09 10:14:09,19,江西九江
185,117.171.167.109,0,杨某人F,杨老师，爱上了，说的太对了。,wb,2018-08-09 10:11:38,19,江西九江
186,218.18.77.182,0,荷些了,房子只是财富的转移，年轻人想通了将来不想成为高净值人群。,wb,2018-08-09 10:08:41,19,广东深圳
187,223.104.145.104,5,一个不愿透露姓名的普通热心群众,60后是垮掉的一代→70后是垮掉的一代→80后是垮掉的一代→90后是垮掉的一代[思考],wb,2018-08-09 09:58:03,19,江苏苏州
188,119.123.131.179,1,潘昱材,我手机三年没换 星巴克没去一次 我的房呢？,wb,2018-08-09 09:57:59,19,广东深圳
189,124.160.212.121,0,Dcpzzzzzzzz,哇，真的是树下野狐,wb,2018-08-09 09:49:12,19,浙江绍兴
190,119.79.121.158,0,用户5650457955,贷款买的房子，几个贷款买苹果消费的，少的可怜好吧，哪里来的砖家！？,,2018-08-09 09:48:43,20,湖北武汉
191,113.115.59.2,0,不喜欢了ky,90后厉害了，你说他们，他们怼回去。[赞]。哈哈。,wb,2018-08-09 09:47:55,20,广东广州
